scenario,rows,mean_chla_ug_l,p90_chla_ug_l,p95_chla_ug_l,max_chla_ug_l,hours_gt_10ug_l,hours_gt_25ug_l,mean_no3_mg_l,mean_tam_mg_l,mean_po4_mg_l,relative_mean_vs_baseline,percent_mean_change,note
baseline,8760,5.261546676919835,18.191295552452804,21.641744994574786,27.282740861320494,2074,36,0.658809819424761,0.006667318645038687,0.0013363601309923892,1.0,0.0,2010 calibrated PLNK baseline using observed monthly WQ boundary loads
tnp40,8760,4.7372986178106125,17.93436462765456,21.340755939547414,26.170327225542067,1785,21,0.5851393565084889,0.005385703082701574,0.0012006762868778903,0.9003623665625023,-9.963763343749765,HSPF PLNK scenario with 40% TN/NO3/NH3 and TP/PO4 load reduction
tp20,8760,4.876694978635714,17.97251666030288,21.431427427055237,26.737375458955764,1874,24,0.6593685126227358,0.006101920542922505,0.0012201389710541149,0.926855785586337,-7.314421441366303,HSPF PLNK scenario with 20% TP/PO4 load reduction
