scenario,month,mean_chla_ug_l,p95_chla_ug_l,hours_gt_10ug_l,hours_gt_25ug_l,baseline_mean_chla_ug_l,percent_mean_change
baseline,2010-01-01,4.149187737524853,21.50106263934195,140,0,4.149187737524853,0.0
baseline,2010-02-01,4.106182622463247,20.862498972040385,126,0,4.106182622463247,0.0
baseline,2010-03-01,4.651709163648876,21.26825073535502,166,0,4.651709163648876,0.0
baseline,2010-04-01,3.758370618417967,19.443364519436354,129,0,3.758370618417967,0.0
baseline,2010-05-01,3.3311565524873687,19.352705110284095,107,2,3.3311565524873687,0.0
baseline,2010-06-01,3.394935560889177,19.671714271420235,106,3,3.394935560889177,0.0
baseline,2010-07-01,7.264092070558033,22.17819627949834,245,4,7.264092070558033,0.0
baseline,2010-08-01,3.8364026746549684,19.84334784931898,114,9,3.8364026746549684,0.0
baseline,2010-09-01,13.91074370890801,23.471151571438906,533,13,13.91074370890801,0.0
baseline,2010-10-01,6.531768974561712,21.81727165930331,136,3,6.531768974561712,0.0
baseline,2010-11-01,4.109916335825134,21.590142039513587,133,2,4.109916335825134,0.0
baseline,2010-12-01,4.115438856420973,20.357413866780995,139,0,4.115438856420973,0.0
tnp40,2010-01-01,4.0671753043146,21.09906535281301,138,0,4.149187737524853,-1.9765900797532154
tnp40,2010-02-01,4.0906452942694385,20.780520917320814,126,0,4.106182622463247,-0.3783886305691819
tnp40,2010-03-01,4.605639556822359,21.205955743467804,165,0,4.651709163648876,-0.9903802066245082
tnp40,2010-04-01,3.650913763928332,19.020051918568587,125,0,3.758370618417967,-2.859134060995494
tnp40,2010-05-01,3.2922284874416845,19.34824223066927,107,2,3.3311565524873687,-1.1686050905237888
tnp40,2010-06-01,3.3692868715608975,19.66598025402546,105,2,3.394935560889177,-0.7554985615562559
tnp40,2010-07-01,7.07998676902845,21.812307455171943,235,3,7.264092070558033,-2.534457159151071
tnp40,2010-08-01,3.6106446342926457,19.72078099009931,113,7,3.8364026746549684,-5.884628374747614
tnp40,2010-09-01,10.667495562486733,22.874081202841403,273,6,13.91074370890801,-23.3146998772208
tnp40,2010-10-01,4.3762011787931785,21.07576074786723,129,0,6.531768974561712,-33.00128654524518
tnp40,2010-11-01,4.0252528073945095,21.512299875674838,132,1,4.109916335825134,-2.059981797990229
tnp40,2010-12-01,4.0386872015720865,20.11496008805037,137,0,4.115438856420973,-1.864968901898223
tp20,2010-01-01,4.068953153453483,21.10260285576582,138,0,4.149187737524853,-1.9337419549791846
tp20,2010-02-01,4.094792272422369,20.80164006752368,126,0,4.106182622463247,-0.27739511580818776
tp20,2010-03-01,4.636113678547139,21.2363234942472,166,0,4.651709163648876,-0.33526354621671306
tp20,2010-04-01,3.6541704646075757,19.029163509846903,125,0,3.758370618417967,-2.7724821309467518
tp20,2010-05-01,3.293776044762719,19.351201500540384,107,2,3.3311565524873687,-1.1221480328427624
tp20,2010-06-01,3.3701654289312892,19.666196063679457,105,2,3.394935560889177,-0.7296200918582518
tp20,2010-07-01,7.085371706502567,21.8125084943068,235,3,7.264092070558033,-2.460326250266487
tp20,2010-08-01,3.6249877451079753,19.72831075336754,113,7,3.8364026746549684,-5.510759622385231
tp20,2010-09-01,11.766533014719547,22.96749760578989,358,8,13.91074370890801,-15.414062246113957
tp20,2010-10-01,4.892620380733132,21.302090649549363,132,1,6.531768974561712,-25.095017907282436
tp20,2010-11-01,4.025252452312697,21.512302858883142,132,1,4.109916335825134,-2.059990437626258
tp20,2010-12-01,4.038688347572865,20.11496445372105,137,0,4.115438856420973,-1.864941055517344
