station,lon,lat
Namgangcheon,127.81358333333333,35.62913888888889
Hamyang Wicheon 1,127.7294,35.5148
Hamyang Wicheon 2,127.78180555555555,35.514805555555554
Ramcheon 1,127.60802777777778,35.44622222222222
Ramcheon 2,127.63772222222222,35.41763888888889
Imcheon,127.79275,35.464444444444446
Gyeonghogang 1,127.82980555555555,35.48983333333334
Yangchan 2,127.98158333333333,35.296055555555554
Gyeonghogang 2,127.96122222222222,35.282333333333334
Deokcheongang 1,127.8360861111111,35.27686666666666
Deokcheongang 2,127.89569444444444,35.263555555555556
NamgangDam 3,127.97733333333333,35.206694444444445
NamgangDam 2,127.98752777777779,35.154888888888884
NamgangDam 1,128.0316388888889,35.168
Panmun,128.029272,35.151061
Naedong,128.020003,35.149339
